순위,카페명,주소,주소2,메뉴명,가격
1,The Combo (above),7500 W. North Ave,,Johnnie’s Beef,$5.35
2,The Italian Sub,901 W. Randolph St,,J.P. Graziano’s,$9.25
3,The Pork Shish Kabob,6656 W. Diversey Ave,,Mr. D’s Shish-Kabobs,$7.90
4,The Steak Sandwich,6401 W. Addison St,4323 W. Addison St,Bia’s Café Marianao,$6.65
5,The Nhu Lan Special (No. 1),4810 N. Sheridan Rd,2612 W. Lawrence Ave,Nhu Lan Bakery,$6.50
6,The Papa con Chorizo Pambazo,3300 W. Fullerton Ave,,El Habanero,$7.99
7,The Doner,545 W. Diversey Pkwy,,Ali Baba Doner,$10.90
8,The Turkey Cristo,405 E. 75th St,,5 Loaves Eatery,$12
9,The Anda Masala,833 W. Chicago Ave,829 W. Higgins Rd,Egg-O-Holic,$7.99
10,The Crispy Fish Fillet,5635 W. Montrose Ave,,Hagen’s Fish Market,$5.99
